Name,Year,Genres
Love & Death,2023,Crime; Drama; Mini-Series
BEEF,2023-Present,Comedy; Drama
1923,2022-2025,Drama; Western
Wednesday,2022-Present,Comedy; Drama; Fantasy; Horror; Mystery
Tulsa King,2022-Present,Comedy; Crime; Drama
Don't Hug Me I'm Scared,2022,Comedy; Fantasy; Horror
Monster (2022),2022-Present,Crime; Family; Thriller
Andor,2022-2025,Action; Adventure; Drama; Science Fiction
Cunk on Earth,2022,Comedy; Documentary
Cyberpunk: Edgerunners,2022,Action; Adventure; Animation; Anime; Crime; Science Fiction; Thriller
Frozen Planet II,2022,Documentary; Mini-Series
The Lord of the Rings: The Rings of Power,2022-Present,Action; Adventure; Drama; Fantasy; Mystery
She-Hulk: Attorney at Law,2022,Action; Adventure; Comedy; Drama; Science Fiction
The Bear,2022-Present,Comedy; Drama; Food
Ms. Marvel,2022,Action; Adventure; Comedy; Fantasy; Science Fiction
Obi-Wan Kenobi,2022,Action; Adventure; Fantasy; Mini-Series; Science Fiction
Prehistoric Planet,2022-Present,Documentary; History
Moon Knight,2022,Adventure; Drama; Fantasy; Mini-Series
The Boys Presents: Diabolical,2022,Action; Adventure; Animation; Comedy; Drama; Science Fiction
The Dropout,2022,Drama; Mini-Series
FROM,2022-Present,Drama; Horror; Mystery; Science Fiction; Thriller
Severance,2022-Present,Drama; Mystery; Science Fiction; Thriller
jeen-yuhs: A Kanye Trilogy,2022,Documentary
This is Going to Hurt,2022,Drama; Comedy; Medical
The Woman in the House Across the Street from the Girl in the Window,2022,Comedy; Crime; Drama; Mystery
Peacemaker,2022-Present,Action; Comedy; Science Fiction
The Green Planet,2022,Documentary; Mini-Series
Station Eleven,2021-2022,Adventure; Drama; Mini-Series; Mystery; Science Fiction; Thriller
Abbott Elementary,2021-Present,Comedy
Dopesick,2021,Crime; Drama; Mini-Series
Squid Game,2021-2025,Action; Drama; Mystery; Thriller
Only Murders in the Building,2021-Present,Comedy; Crime; Drama; Mystery; Thriller
Reservation Dogs,2021-2023,Comedy; Crime; Drama
Kevin Can F**k Himself,2021-2022,Comedy; Drama
Loki,2021-2023,Action; Adventure; Drama; Fantasy; Mystery; Science Fiction
Invincible,2021-Present,Action; Animation; Drama; Science Fiction; Thriller
The Falcon and The Winter Soldier,2021,Action; Adventure; Drama; Mini-Series; Science Fiction
Attenborough's Life in Colour,2021,Documentary; Mini-Series
WandaVision,2021,Action; Adventure; Comedy; Drama; Fantasy; Mini-Series; Science Fiction
A Perfect Planet,2021,Documentary; Mini-Series
The Queen's Gambit,2020,Drama; History; Mini-Series
Raised by Wolves (2020),2020-2022,Drama; Fantasy; Science Fiction; Thriller
Space Force,2020-2022,Comedy
Jeffrey Epstein: Filthy Rich,2020,Crime; Documentary
The Last Dance,2020,Drama; Sports
Tiger King,2020-2021,Crime; Documentary
Devs,2020,Drama; Science-Fiction; Mystery
The Witcher,2019-Present,Action; Drama; Fantasy
The Mandalorian,2019-Present,Action; Adventure; Fantasy; Science Fiction
"Seven Worlds, One Planet",2019,Documentary
The Boys,2019-Present,Action; Fantasy; Adult
Chernobyl,2019,Drama; History; Mini-Series; Thriller
Dead to Me,2019-2022,Comedy; Drama; Mystery
I Think You Should Leave with Tim Robinson,2019-Present,Comedy
Our Planet (2019),2019-2023,Documentary
The Twilight Zone (2019),2019-2020,Drama; Fantasy; Horror; Mystery; Science Fiction; Suspense; Thriller
The Umbrella Academy,2019-2024,Action; Adventure; Comedy; Drama; Fantasy; Science Fiction; Suspense
Dirty John,2018-2020,Crime; Drama; Thriller
Narcos: Mexico,2018-2021,Action; Adventure; Crime; Drama
Dynasties (2018),2018-2022,Documentary
Patriot Act with Hasan Minhaj,2018-2020,Comedy; News; Talk Show
Maniac (2018),2018,Comedy; Drama; Mini-Series; Science Fiction
You,2018-2025,Crime; Drama; Romance; Thriller
Explained,2018-2021,Documentary
Cobra Kai,2018-2025,Action; Comedy; Drama; Martial Arts; Sport
Queer Eye,2018-Present,Comedy; Reality
Altered Carbon,2018-2020,Action; Drama; Science Fiction; Thriller
Dark,2017-2020,Crime; Mystery; Science Fiction; Thriller
Blue Planet II,2017,Documentary; Mini-Series
MINDHUNTER,2017-2019,Crime; Drama; Thriller
Manhunt (2017),2017-2020,Crime; Drama; Thriller
Ozark,2017-2022,Crime; Drama; Thriller
Snowfall,2017-2023,Crime; Drama
Money Heist,2017-2021,Action; Crime; Drama; Mystery; Thriller
13 Reasons Why,2017-2020,Drama; Mystery; Suspense; Thriller
The Marvelous Mrs. Maisel,2017-2023,Comedy; Drama
Legion,2017-2019,Drama; Action; Science-Fiction
Santa Clarita Diet,2017-2019,Comedy; Horror
Nirvanna the Band the Show,2017-2018,Comedy
Riverdale,2017-2023,Crime; Drama; Mystery; Romance
The World's Most Extraordinary Homes,2017-2018,Documentary; Home and Garden; Reality
The Grand Tour,2016-Present,Comedy; Adventure
Planet Earth II,2016,Documentary
The Crown,2016-2023,Drama; History
Westworld,2016-2022,Adventure; Drama; Mystery; Science Fiction; Western
Marvel's Luke Cage,2016-2018,Action; Crime; Drama; Science Fiction; Thriller
The Good Place,2016-2020,Comedy; Drama; Fantasy; Romance
Atlanta,2016-2022,Comedy; Drama
Stranger Things,2016-Present,Drama; Horror; Science-Fiction
The Night Of,2016,Drama; Crime; Legal
Great Barrier Reef with David Attenborough,2015-2016,Documentary; Mini-Series
The Expanse,2015-2022,Science-Fiction; Thriller; Mystery
The Hunt,2015,Nature
Narcos,2015-2017,Action; Crime; Drama; Thriller
Show Me a Hero,2015,Crime; Drama; History; Mini-Series
Mr. Robot,2015-2019,Crime; Drama; Thriller
Better Call Saul,2015-2022,Crime; Drama
The Man in the High Castle,2015-2019,Drama; Science Fiction; Thriller
BoJack Horseman,2014-2020,Animation; Comedy; Drama
The Knick,2014-2015,Drama; Medical
The Leftovers,2014-2017,Drama; Fantasy; Mystery
Last Week Tonight with John Oliver,2014-Present,Comedy; News; Talk Show
Fargo,2014-Present,Crime; Drama; Thriller
Silicon Valley,2014-2019,Comedy
Rick and Morty,2013-Present,Adventure; Animation; Comedy; Science Fiction
Brooklyn Nine-Nine,2013-2021,Comedy
Peaky Blinders,2013-2022,Crime; Drama
Hannibal,2013-2015,Crime; Drama; Horror; Mystery; Thriller
Nathan for You,2013-2017,Comedy; Documentary
House of Cards (US),2013-2018,Crime; Drama
Utopia,2013-2014,Drama; Mystery; Science Fiction; Thriller
Africa (2013),2013,Documentary
Black Mirror,2011-Present,Drama; Science Fiction; Thriller
Frozen Planet,2011,Documentary
Brain Games,2011-2020,Documentary; Comedy; Reality
The Slap,2011,Drama
Game of Thrones,2011-2019,Action; Adventure; Drama; Fantasy
Portlandia,2011-2018,Comedy
Bob's Burgers,2011-Present,Animation; Comedy
The Walking Dead,2010-2022,Adventure; Drama; Horror; Thriller
Downton Abbey,2010-2015,Drama; Romance
Justified,2010-2015,Drama; Crime; Western
Life,2009,Documentary
Modern Family,2009-2020,Comedy
Community,2009-2015,Comedy
Archer,2009-2023,Comedy; Action; Espionage
World War II in Colour,2009,War; History
Glee,2009-2015,Comedy; Drama; Musical
Parks and Recreation,2009-2015,Comedy
Party Down,2009-2023,Comedy; Drama
Star Wars: The Clone Wars,2008-2020,Action; Adventure; Animation; Drama; Fantasy; Science Fiction
Fringe,2008-2013,Drama; Action; Science-Fiction
Breaking Bad,2008-2013,Crime; Drama; Thriller; Western
Nirvana The Band The Show,2007-2010,Comedy
The Big Bang Theory,2007-2019,Comedy; Romance
Mad Men,2007-2015,Drama
30 Rock,2006-2013,Comedy
Death Note,2006-2007,Anime; Crime; Fantasy; Horror; Suspense; Thriller
Dexter,2006-2013,Crime; Drama; Mystery
Heroes,2006-2010,Drama; Fantasy; Science Fiction; Thriller
Planet Earth,2006,Documentary
The IT Crowd,2006-2010,Comedy
It's Always Sunny in Philadelphia,2005-Present,Comedy
The Office (US),2005-2013,Comedy
Avatar: The Last Airbender,2005-2008,Action; Adventure; Animation; Children; Comedy; Drama; Family; Fantasy; Martial Arts; Mystery
House,2004-2012,Drama; Mystery; Suspense
Lost,2004-2010,Drama; Adventure; Supernatural
Deadwood,2004-2006,Drama; Crime; Western
Arrested Development,2003-2019,Comedy
Top Gear,2002-2022,Comedy; Documentary; Talk Show; Travel
Firefly,2002-2003,Adventure; Drama; Science Fiction
The Wire,2002-2008,Crime; Drama; Thriller
24,2001-2014,Action; Crime; Drama; Thriller
The Blue Planet,2001,Documentary
Band of Brothers,2001,Drama; Action; War
Malcolm in the Middle,2000-2006,Comedy; Family
The West Wing,1999-2006,Drama
Futurama,1999-Present,Adventure; Animation; Comedy; Science Fiction
Family Guy,1999-Present,Animation; Comedy
The Sopranos,1999-2007,Crime; Drama; Family
South Park,1997-Present,Animation; Comedy
King of the Hill,1997-Present,Animation; Comedy; Drama
Friends,1994-2004,Comedy
The X-Files,1993-2018,Crime; Drama; Fantasy; Horror; Mystery; Science Fiction; Suspense; Thriller
Twin Peaks,1990-2017,Crime; Drama; Fantasy; Horror; Mystery; Romance; Thriller
Mr. Bean,1990-1995,Comedy; Family
The Simpsons,1989-Present,Animation; Comedy
Seinfeld,1989-1998,Comedy
Unsolved Mysteries,1988-Present,Crime; Documentary; Drama; Mystery; Reality; Thriller
Anne of Green Gables,1985,Drama; Family
The Muppet Show,1976-Present,Comedy; Children
Saturday Night Live,1975-Present,Comedy
The Prisoner,1967-1968,Drama; Mystery; Science Fiction; Thriller
